商品型号,评论内容
静夜黑8G+128G,手机已收到 外观漂亮 手机流畅 发货速度 好
静夜黑全网通 (6G+128G),16非常好，不足的是耗电快
静夜黑全网通(8G+256G),得亏没有退款成功，很喜欢，魅族如果能坚持不跟风，能行
静夜黑全网通 (8G+128G),10月13出厂，真香。真品
静夜黑全网通 (8G+128G),东西成色没问题，就是不是第一次查询，不知道#了没有，然后买了才二天，就降价了二百，这点让人很不爽。
静夜黑全网通(8G+256G),跑分确实厉害，颜值高，本以为机子会很大，但上手很适合，性能各方面以后再摸索
静夜黑全网通 (6G+128G),外观漂亮，sn码首次查询。flyme依然漂亮。是正品
静夜黑全网通 (8G+128G),客服态度很好，发货速度也适中，总体来说还行吧，价格比较公道
极光蓝全网通 (6G+128G),真香机就是真香机，加了点钱还是很香的！拍照也非常好！
静夜黑全网通 (8G+128G),不错很喜欢
极光蓝全网通 (8G+128G),一直用魅族，标准的魅友，16高大上运行速度满意
静夜黑全网通 (8G+128G),手机不错，很快很好看。。还有东西送，希望耐用把。
静夜黑全网通 (8G+128G),首先机子是正品，但新机不应该出现掉漆现象吧？绝对的退货二次销售！！！九点收到机子发现问题马上联系客服了，被告知售后十点才上班，好，我等到十点，然后一直说自己的机子是正品新机，第一，我没说不是正品，第二，我都已经发现掉漆还说是新机。完了先让我自己去官方指定的地方去检测一下，我有义务这跑腿的义务吗？后来又让我寄回去说让厂家检测完再决定是否退换，呵呵了，你们有时间玩我还没时间陪呢，最后说返我20元钱，我花新机的钱买个再次销售的二手机，就为了你那20块钱？20块钱还是留着你找人删我这条评论吧。就这样的垃圾店铺长久不了。东西我急用，我认了，只能在给大家提个醒了。送的耳机贴膜什么的真的很差，但因为免费赠送的我不发表意见了。最后再重申这家店真的坑。
静夜黑全网通 (8G+128G),东西不错，性价比高，物流也很快。
静夜黑全网通 (8G+128G),手机很不错，是正品的。支持店家，价格和官网差不多还有赠送送，在官网试了很多次都买不到。
静夜黑全网通 (6G+128G),用了一周多才来评价的，手机没问题。值得购买。早买早享受。嗯，真香
静夜黑全网通 (8G+128G),16P确实挺大的  握在手里有点大
静夜黑全网通 (8G+128G),好手机啊，用了各方面都很好
静夜黑全网通 (8G+128G),本来还有点小担心，用了后还是很满意的，价格虽然比官网高了一点，不过还是很值得的
静夜黑全网通 (8G+128G),很完美的机器，就是价格不稳定，后续怎么样会追评的，这个价位可以了物超所值。
静夜黑全网通 (8G+128G),永远的魅族，永远的煤油，无魅族不煤油！！！
